State,PopulationChanges,FinalYearPopulation,FinalYearPrimeFactors
Alabama,2013-2014: 18401; 2014-2015: 12942; 2015-2016: 10544; 2016-2017: 9607; 2017-2018: 13909; 2018-2019: 11570; 2019-2020: 16936,4893186,"2, 3, 41, 19891"
Alaska,2013-2014: 7984; 2014-2015: 5075; 2015-2016: 3480; 2016-2017: 1710; 2017-2018: -49; 2018-2019: -1448; 2019-2020: -78,736990,"2, 5, 73699"
Arizona,2013-2014: 81813; 2014-2015: 80412; 2015-2016: 86649; 2016-2017: 81369; 2017-2018: 136739; 2018-2019: 103614; 2019-2020: 123765,7174064,"2, 2, 2, 2, 448379"
Arkansas,2013-2014: 13667; 2014-2015: 11172; 2015-2016: 10264; 2016-2017: 9472; 2017-2018: 12727; 2018-2019: 8699; 2019-2020: 12503,3011873,"17, 23, 7703"
California,2013-2014: 407739; 2014-2015: 354544; 2015-2016: 232742; 2016-2017: 328641; 2017-2018: 165913; 2018-2019: 134737; 2019-2020: 62526,39346023,"3, 587, 22343"
Colorado,2013-2014: 78251; 2014-2015: 81326; 2015-2016: 80389; 2016-2017: 77224; 2017-2018: 94622; 2018-2019: 79208; 2019-2020: 74577,5684926,"2, 13, 218651"
Connecticut,2013-2014: 8492; 2014-2015: 1169; 2015-2016: -4652; 2016-2017: 5908; 2017-2018: -12974; 2018-2019: -6430; 2019-2020: -4525,3570549,"3, 31, 38393"
Delaware,2013-2014: 8614; 2014-2015: 9394; 2015-2016: 8241; 2016-2017: 9037; 2017-2018: 5763; 2018-2019: 7753; 2019-2020: 10431,967679,"23, 42073"
District of Columbia,2013-2014: 14365; 2014-2015: 13748; 2015-2016: 11525; 2016-2017: 13382; 2017-2018: 12107; 2018-2019: 8185; 2019-2020: 9291,701974,"2, 7, 7, 13, 19, 29"
Florida,2013-2014: 270636; 2014-2015: 283980; 2015-2016: 288679; 2016-2017: 343996; 2017-2018: 319692; 2018-2019: 303497; 2019-2020: 315288,21216924,"2, 2, 3, 3, 3, 196453"
Georgia,2013-2014: 97339; 2014-2015: 98937; 2015-2016: 92627; 2016-2017: 102315; 2017-2018: 95849; 2018-2019: 106363; 2019-2020: 112732,10516579,"47, 223757"
Hawaii,2013-2014: 16406; 2014-2015: 13595; 2015-2016: 7374; 2016-2017: 7985; 2017-2018: 371; 2018-2019: 65; 2019-2020: -2020,1420074,"2, 3, 3, 78893"
Idaho,2013-2014: 16100; 2014-2015: 17083; 2015-2016: 18936; 2016-2017: 21892; 2017-2018: 30434; 2018-2019: 29941; 2019-2020: 36617,1754367,"3, 584789"
Illinois,2013-2014: 20193; 2014-2015: 5014; 2015-2016: -22077; 2016-2017: 2842; 2017-2018: -33029; 2018-2019: -50866; 2019-2020: -54467,12716164,"2, 2, 349, 9109"
Indiana,2013-2014: 27550; 2014-2015: 26234; 2015-2016: 20933; 2016-2017: 24840; 2017-2018: 23008; 2018-2019: 28277; 2019-2020: 31190,6696893,"7, 956699"
Iowa,2013-2014: 15563; 2014-2015: 15410; 2015-2016: 13063; 2016-2017: 11513; 2017-2018: 14397; 2018-2019: 7009; 2019-2020: 10503,3150011,"23, 151, 907"
Kansas,2013-2014: 14839; 2014-2015: 10041; 2015-2016: 5305; 2016-2017: 5528; 2017-2018: 4956; 2018-2019: 1876; 2019-2020: 1967,2912619,"3, 97, 10009"
Kentucky,2013-2014: 21939; 2014-2015: 14081; 2015-2016: 14636; 2016-2017: 12387; 2017-2018: 15828; 2018-2019: 8848; 2019-2020: 12900,4461952,"2, 2, 2, 2, 2, 2, 2, 11, 3169"
Louisiana,2013-2014: 33081; 2014-2015: 24204; 2015-2016: 20417; 2016-2017: 17791; 2017-2018: 155; 2018-2019: 746; 2019-2020: 254,4664616,"2, 2, 2, 3, 11, 17669"
Maine,2013-2014: 215; 2014-2015: 565; 2015-2016: 823; 2016-2017: 235; 2017-2018: 2655; 2018-2019: 2679; 2019-2020: 5333,1340825,"5, 5, 53633"
Maryland,2013-2014: 53477; 2014-2015: 42762; 2015-2016: 29364; 2016-2017: 36177; 2017-2018: 7356; 2018-2019: 15413; 2019-2020: 18776,6037624,"2, 2, 2, 754703"
Massachusetts,2013-2014: 52233; 2014-2015: 48295; 2015-2016: 36557; 2016-2017: 47176; 2017-2018: 40874; 2018-2019: 20360; 2019-2020: 22450,6873003,"3, 3, 19, 40193"
Michigan,2013-2014: 2929; 2014-2015: 11547; 2015-2016: 9029; 2016-2017: 15968; 2017-2018: 31920; 2018-2019: 7777; 2019-2020: 8642,9973907,"919, 10853"
Minnesota,2013-2014: 35921; 2014-2015: 35510; 2015-2016: 31697; 2016-2017: 39858; 2017-2018: 36632; 2018-2019: 36020; 2019-2020: 36788,5600166,"2, 3, 11, 13, 61, 107"
Mississippi,2013-2014: 7473; 2014-2015: 3736; 2015-2016: 1111; 2016-2017: -2972; 2017-2018: 2542; 2018-2019: -4344; 2019-2020: -2583,2981835,"3, 3, 5, 23, 43, 67"
Missouri,2013-2014: 20894; 2014-2015: 17372; 2015-2016: 14203; 2016-2017: 15649; 2017-2018: 14762; 2018-2019: 14848; 2019-2020: 19250,6124160,"2, 2, 2, 2, 2, 2, 2, 5, 7, 1367"
Montana,2013-2014: 7816; 2014-2015: 8329; 2015-2016: 8692; 2016-2017: 6471; 2017-2018: 11870; 2018-2019: 8917; 2019-2020: 11056,1061705,"5, 59, 59, 61"
Nebraska,2013-2014: 13992; 2014-2015: 13748; 2015-2016: 11894; 2016-2017: 12662; 2017-2018: 10839; 2018-2019: 9811; 2019-2020: 9255,1923826,"2, 19, 50627"
Nevada,2013-2014: 31518; 2014-2015: 37052; 2015-2016: 40536; 2016-2017: 48553; 2017-2018: 35124; 2018-2019: 49533; 2019-2020: 57899,3030281,"31, 239, 409"
New Hampshire,2013-2014: 1898; 2014-2015: 3132; 2015-2016: 3302; 2016-2017: 4345; 2017-2018: 11774; 2018-2019: 4502; 2019-2020: 7120,1355244,"2, 2, 3, 11, 10267"
New Jersey,2013-2014: 41968; 2014-2015: 30039; 2015-2016: 11043; 2016-2017: 44705; 2017-2018: -78316; 2018-2019: -3342; 2019-2020: 6915,8885418,"2, 3, 1480903"
New Mexico,2013-2014: 10379; 2014-2015: 4032; 2015-2016: -1448; 2016-2017: 2159; 2017-2018: 7606; 2018-2019: 20; 2019-2020: 4567,2097021,"3, 699007"
New York,2013-2014: 107277; 2014-2015: 78844; 2015-2016: 24283; 2016-2017: 100771; 2017-2018: -179775; 2018-2019: -46134; 2019-2020: -57470,19514849,"163, 119723"
North Carolina,2013-2014: 99025; 2014-2015: 94928; 2015-2016: 95495; 2016-2017: 111736; 2017-2018: 103060; 2018-2019: 109252; 2019-2020: 121351,10386227,10386227
North Dakota,2013-2014: 15144; 2014-2015: 16715; 2015-2016: 14522; 2016-2017: 9313; 2017-2018: 6726; 2018-2019: 4516; 2019-2020: 3677,760394,"2, 380197"
Ohio,2013-2014: 10790; 2014-2015: 15597; 2015-2016: 10964; 2016-2017: 22815; 2017-2018: 32123; 2018-2019: 13518; 2019-2020: 19878,11675275,"5, 5, 179, 2609"
Oklahoma,2013-2014: 33109; 2014-2015: 30882; 2015-2016: 25856; 2016-2017: 20662; 2017-2018: 21886; 2018-2019: 14733; 2019-2020: 16472,3949342,"2, 59, 33469"
Oregon,2013-2014: 31622; 2014-2015: 38890; 2015-2016: 43034; 2016-2017: 42860; 2017-2018: 56816; 2018-2019: 47860; 2019-2020: 46543,4176346,"2, 227, 9199"
Pennsylvania,2013-2014: 27348; 2014-2015: 20830; 2015-2016: 4418; 2016-2017: 6528; 2017-2018: 676; 2018-2019: 349; 2019-2020: 3355,12794885,"5, 19, 134683"
Rhode Island,2013-2014: 1557; 2014-2015: 409; 2015-2016: 830; 2016-2017: 1647; 2017-2018: 473; 2018-2019: 620; 2019-2020: 567,1057798,"2, 7, 75557"
South Carolina,2013-2014: 47671; 2014-2015: 50303; 2015-2016: 57029; 2016-2017: 58839; 2017-2018: 62481; 2018-2019: 64881; 2019-2020: 70711,5091517,"17, 299501"
South Dakota,2013-2014: 9510; 2014-2015: 8482; 2015-2016: 7868; 2016-2017: 4386; 2017-2018: 8845; 2018-2019: 6349; 2019-2020: 8698,879336,"2, 2, 2, 3, 3, 3, 3, 23, 59"
Tennessee,2013-2014: 48978; 2014-2015: 48250; 2015-2016: 48394; 2016-2017: 49372; 2017-2018: 53708; 2018-2019: 58267; 2019-2020: 62912,6772268,"2, 2, 1693067"
Texas,2013-2014: 452660; 2014-2015: 446581; 2015-2016: 417821; 2016-2017: 463177; 2017-2018: 465583; 2018-2019: 375661; 2019-2020: 374586,28635442,"2, 11, 103, 12637"
Utah,2013-2014: 44438; 2014-2015: 45268; 2015-2016: 45048; 2016-2017: 45514; 2017-2018: 51409; 2018-2019: 51498; 2019-2020: 54391,3151239,"3, 7, 7, 13, 17, 97"
Vermont,2013-2014: 454; 2014-2015: 246; 2015-2016: -355; 2016-2017: -1613; 2017-2018: 341; 2018-2019: -664; 2019-2020: 27,624340,"2, 2, 5, 19, 31, 53"
Virginia,2013-2014: 84478; 2014-2015: 71499; 2015-2016: 53671; 2016-2017: 55651; 2017-2018: 47822; 2018-2019: 40689; 2019-2020: 54895,8509358,"2, 11, 13, 29753"
Washington,2013-2014: 79544; 2014-2015: 86341; 2015-2016: 87682; 2016-2017: 96821; 2017-2018: 124369; 2018-2019: 109771; 2019-2020: 108358,7512465,"3, 5, 500831"
West Virginia,2013-2014: 262; 2014-2015: -2461; 2015-2016: -5328; 2016-2017: -9249; 2017-2018: -7789; 2018-2019: -11749; 2019-2020: -9879,1807426,"2, 211, 4283"
Wisconsin,2013-2014: 17821; 2014-2015: 17425; 2015-2016: 12681; 2016-2017: 8419; 2017-2018: 15177; 2018-2019: 12322; 2019-2020: 16259,5806975,"5, 5, 109, 2131"
Wyoming,2013-2014: 5117; 2014-2015: 4428; 2015-2016: 3350; 2016-2017: 171; 2017-2018: -1364; 2018-2019: -812; 2019-2020: 324,581348,"2, 2, 23, 71, 89"
Puerto Rico,2013-2014: -44001; 2014-2015: -55892; 2015-2016: -53688; 2016-2017: -60422; 2017-2018: -82022; 2018-2019: -68494; 2019-2020: -62805,3255642,"2, 3, 3, 13, 13913"
